row,column,samples
1,1,759
1,2,665
1,3,710
1,4,690
1,5,807
2,1,397
2,2,339
2,3,397
2,4,556
2,5,460
3,1,412
3,2,329
3,3,183
3,4,613
3,5,358
4,1,335
4,2,435
4,3,459
4,4,395
4,5,354
5,1,297
5,2,279
5,3,406
5,4,519
5,5,324
