epoch,train_accuracy,val_accuracy
1.0,0.6405405405405405,0.6962025316455697
2.0,0.654054054054054,0.6962025316455697
3.0,0.6918918918918919,0.2974683544303797
4.0,0.6648648648648648,0.9620253164556962
5.0,0.7054054054054054,0.9367088607594937
6.0,0.7594594594594595,0.7911392405063291
7.0,0.918918918918919,0.9683544303797469
8.0,0.8675675675675676,0.9683544303797469
9.0,0.9783783783783784,0.9683544303797469
10.0,0.8864864864864865,0.9683544303797469
11.0,0.9837837837837838,0.9683544303797469
12.0,0.9837837837837838,0.9746835443037974
13.0,0.8594594594594595,0.9493670886075949
14.0,0.9783783783783784,0.9683544303797469
15.0,0.9864864864864865,0.9683544303797469
16.0,0.9864864864864865,0.9746835443037974
17.0,0.9891891891891892,0.9746835443037974
18.0,0.9918918918918919,0.9810126582278481
19.0,0.9891891891891892,0.9746835443037974
20.0,0.9918918918918919,0.9746835443037974
